"STATION"    ,        "NAME"            ,"LATITUDE"  ,"LONGITUDE","ELEVATION","DATE", "AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-22",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-23",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-24",,,,,,,,,,,"0.64",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-25",,,,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-26",,,,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-27",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-28",,,,,,,,,,,"0.12",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-29",,,,,,,,,,,"0.15",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-30",,,,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-10-31",,,,,,,,,,,"0.08",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-01",,,,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-02",,,,,,,,,,,"0.74",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-03",,,,,,,,,,,"0.08",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-04",,,,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-06",,,,,,,,,,,"1.27",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-07",,,,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-08",,,,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-09",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-10",,,,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-11",,,,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-12",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-13",,,,,,,,,,,"0.12",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-14",,,,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-15",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-16",,,,,,,,,,,"0.11",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-17",,,,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-18",,,,,,,,,,,"0.75",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-19",,,,,,,,,,,"1.39",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-26",,,"    5",",,N",,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-27",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1PAMR0012","HERMITAGE 2.2 SSW, PA US","41.199416","-80.456453","286.8","2017-11-28",,,,,,,,,,,"0.00",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
