datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,WEST,ATSI,OE,6057.487,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,WEST,ATSI,OE,5915.264,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,WEST,ATSI,OE,5804.167,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,WEST,ATSI,OE,5670.543,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,WEST,ATSI,OE,5773.709,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,WEST,ATSI,OE,5903.613,True
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RFC,WEST,ATSI,OE,5891.159,True
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,RFC,WEST,ATSI,OE,6043.394,True
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RFC,WEST,ATSI,OE,6134.678,True
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,RFC,WEST,ATSI,OE,6305.866,True
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,RFC,WEST,ATSI,OE,6544.728,True
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,RFC,WEST,ATSI,OE,6680.766,True
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,RFC,WEST,ATSI,OE,6770.232,True
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,RFC,WEST,ATSI,OE,6872.335,True
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,RFC,WEST,ATSI,OE,6847.477,True
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,RFC,WEST,ATSI,OE,6875.262,True
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,RFC,WEST,ATSI,OE,6952.214,True
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RFC,WEST,ATSI,OE,7228.498,True
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RFC,WEST,ATSI,OE,7265.404,True
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RFC,WEST,ATSI,OE,7173.776,True
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RFC,WEST,ATSI,OE,7007.194,True
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RFC,WEST,ATSI,OE,6857.468,True
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RFC,WEST,ATSI,OE,6608.951,True
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RFC,WEST,ATSI,OE,6338.151,True
1/2/2024 5:00:00 AM,1/2/2024 12:00:00 AM,RFC,WEST,ATSI,OE,6245.738,True
1/2/2024 6:00:00 AM,1/2/2024 1:00:00 AM,RFC,WEST,ATSI,OE,6157.371,True
1/2/2024 7:00:00 AM,1/2/2024 2:00:00 AM,RFC,WEST,ATSI,OE,5993.179,True
1/2/2024 8:00:00 AM,1/2/2024 3:00:00 AM,RFC,WEST,ATSI,OE,6031.934,True
1/2/2024 9:00:00 AM,1/2/2024 4:00:00 AM,RFC,WEST,ATSI,OE,6192.805,True
1/2/2024 10:00:00 AM,1/2/2024 5:00:00 AM,RFC,WEST,ATSI,OE,6500.902,True
1/2/2024 11:00:00 AM,1/2/2024 6:00:00 AM,RFC,WEST,ATSI,OE,6942.420,True
1/2/2024 12:00:00 PM,1/2/2024 7:00:00 AM,RFC,WEST,ATSI,OE,7398.168,True
1/2/2024 1:00:00 PM,1/2/2024 8:00:00 AM,RFC,WEST,ATSI,OE,7583.369,True
1/2/2024 2:00:00 PM,1/2/2024 9:00:00 AM,RFC,WEST,ATSI,OE,7766.112,True
1/2/2024 3:00:00 PM,1/2/2024 10:00:00 AM,RFC,WEST,ATSI,OE,7961.606,True
1/2/2024 4:00:00 PM,1/2/2024 11:00:00 AM,RFC,WEST,ATSI,OE,7951.144,True
1/2/2024 5:00:00 PM,1/2/2024 12:00:00 PM,RFC,WEST,ATSI,OE,8004.666,True
1/2/2024 6:00:00 PM,1/2/2024 1:00:00 PM,RFC,WEST,ATSI,OE,8030.520,True
1/2/2024 7:00:00 PM,1/2/2024 2:00:00 PM,RFC,WEST,ATSI,OE,8005.878,True
1/2/2024 8:00:00 PM,1/2/2024 3:00:00 PM,RFC,WEST,ATSI,OE,7911.949,True
1/2/2024 9:00:00 PM,1/2/2024 4:00:00 PM,RFC,WEST,ATSI,OE,7896.768,True
1/2/2024 10:00:00 PM,1/2/2024 5:00:00 PM,RFC,WEST,ATSI,OE,8059.739,True
1/2/2024 11:00:00 PM,1/2/2024 6:00:00 PM,RFC,WEST,ATSI,OE,8173.657,True
1/3/2024 12:00:00 AM,1/2/2024 7:00:00 PM,RFC,WEST,ATSI,OE,8079.430,True
1/3/2024 1:00:00 AM,1/2/2024 8:00:00 PM,RFC,WEST,ATSI,OE,7898.131,True
1/3/2024 2:00:00 AM,1/2/2024 9:00:00 PM,RFC,WEST,ATSI,OE,7701.372,True
1/3/2024 3:00:00 AM,1/2/2024 10:00:00 PM,RFC,WEST,ATSI,OE,7362.504,True
1/3/2024 4:00:00 AM,1/2/2024 11:00:00 PM,RFC,WEST,ATSI,OE,7011.955,True
1/3/2024 5:00:00 AM,1/3/2024 12:00:00 AM,RFC,WEST,ATSI,OE,6829.649,True
1/3/2024 6:00:00 AM,1/3/2024 1:00:00 AM,RFC,WEST,ATSI,OE,6691.698,True
1/3/2024 7:00:00 AM,1/3/2024 2:00:00 AM,RFC,WEST,ATSI,OE,6537.357,True
1/3/2024 8:00:00 AM,1/3/2024 3:00:00 AM,RFC,WEST,ATSI,OE,6442.358,True
1/3/2024 9:00:00 AM,1/3/2024 4:00:00 AM,RFC,WEST,ATSI,OE,6573.601,True
1/3/2024 10:00:00 AM,1/3/2024 5:00:00 AM,RFC,WEST,ATSI,OE,6812.391,True
1/3/2024 11:00:00 AM,1/3/2024 6:00:00 AM,RFC,WEST,ATSI,OE,7272.036,True
1/3/2024 12:00:00 PM,1/3/2024 7:00:00 AM,RFC,WEST,ATSI,OE,7675.559,True
1/3/2024 1:00:00 PM,1/3/2024 8:00:00 AM,RFC,WEST,ATSI,OE,7818.675,True
1/3/2024 2:00:00 PM,1/3/2024 9:00:00 AM,RFC,WEST,ATSI,OE,7881.188,True
1/3/2024 3:00:00 PM,1/3/2024 10:00:00 AM,RFC,WEST,ATSI,OE,7947.432,True
1/3/2024 4:00:00 PM,1/3/2024 11:00:00 AM,RFC,WEST,ATSI,OE,7935.433,True
1/3/2024 5:00:00 PM,1/3/2024 12:00:00 PM,RFC,WEST,ATSI,OE,7940.624,True
1/3/2024 6:00:00 PM,1/3/2024 1:00:00 PM,RFC,WEST,ATSI,OE,7927.526,True
1/3/2024 7:00:00 PM,1/3/2024 2:00:00 PM,RFC,WEST,ATSI,OE,7823.711,True
1/3/2024 8:00:00 PM,1/3/2024 3:00:00 PM,RFC,WEST,ATSI,OE,7865.409,True
1/3/2024 9:00:00 PM,1/3/2024 4:00:00 PM,RFC,WEST,ATSI,OE,7897.809,True
1/3/2024 10:00:00 PM,1/3/2024 5:00:00 PM,RFC,WEST,ATSI,OE,8074.406,True
1/3/2024 11:00:00 PM,1/3/2024 6:00:00 PM,RFC,WEST,ATSI,OE,8040.424,True
1/4/2024 12:00:00 AM,1/3/2024 7:00:00 PM,RFC,WEST,ATSI,OE,7961.193,True
1/4/2024 1:00:00 AM,1/3/2024 8:00:00 PM,RFC,WEST,ATSI,OE,7872.648,True
1/4/2024 2:00:00 AM,1/3/2024 9:00:00 PM,RFC,WEST,ATSI,OE,7673.112,True
1/4/2024 3:00:00 AM,1/3/2024 10:00:00 PM,RFC,WEST,ATSI,OE,7346.594,True
1/4/2024 4:00:00 AM,1/3/2024 11:00:00 PM,RFC,WEST,ATSI,OE,7006.039,True
1/4/2024 5:00:00 AM,1/4/2024 12:00:00 AM,RFC,WEST,ATSI,OE,6731.551,True
1/4/2024 6:00:00 AM,1/4/2024 1:00:00 AM,RFC,WEST,ATSI,OE,6694.184,True
1/4/2024 7:00:00 AM,1/4/2024 2:00:00 AM,RFC,WEST,ATSI,OE,6654.236,True
1/4/2024 8:00:00 AM,1/4/2024 3:00:00 AM,RFC,WEST,ATSI,OE,6664.401,True
1/4/2024 9:00:00 AM,1/4/2024 4:00:00 AM,RFC,WEST,ATSI,OE,6841.750,True
1/4/2024 10:00:00 AM,1/4/2024 5:00:00 AM,RFC,WEST,ATSI,OE,7102.311,True
1/4/2024 11:00:00 AM,1/4/2024 6:00:00 AM,RFC,WEST,ATSI,OE,7593.371,True
1/4/2024 12:00:00 PM,1/4/2024 7:00:00 AM,RFC,WEST,ATSI,OE,7985.033,True
1/4/2024 1:00:00 PM,1/4/2024 8:00:00 AM,RFC,WEST,ATSI,OE,8070.866,True
1/4/2024 2:00:00 PM,1/4/2024 9:00:00 AM,RFC,WEST,ATSI,OE,8175.983,True
1/4/2024 3:00:00 PM,1/4/2024 10:00:00 AM,RFC,WEST,ATSI,OE,8243.465,True
