,datetime_beginning_utcdatetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,RFC,WEST,ATSI,OE,6048.698,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,RFC,WEST,ATSI,OE,5930.039,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,RFC,WEST,ATSI,OE,5865.100,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,RFC,WEST,ATSI,OE,5868.162,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,RFC,WEST,ATSI,OE,5808.812,True
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,RFC,WEST,ATSI,OE,5904.974,True
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,RFC,WEST,ATSI,OE,6018.465,True
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,RFC,WEST,ATSI,OE,6172.460,True
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,RFC,WEST,ATSI,OE,6231.927,True
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,RFC,WEST,ATSI,OE,6426.489,True
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,RFC,WEST,ATSI,OE,6616.695,True
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,RFC,WEST,ATSI,OE,6769.082,True
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,RFC,WEST,ATSI,OE,6882.090,True
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,RFC,WEST,ATSI,OE,6964.219,True
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,RFC,WEST,ATSI,OE,6982.630,True
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,RFC,WEST,ATSI,OE,6871.334,True
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,RFC,WEST,ATSI,OE,7080.179,True
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,RFC,WEST,ATSI,OE,7285.317,True
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,RFC,WEST,ATSI,OE,7257.356,True
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,RFC,WEST,ATSI,OE,7199.371,True
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,RFC,WEST,ATSI,OE,7105.220,True
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,RFC,WEST,ATSI,OE,7000.125,True
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,RFC,WEST,ATSI,OE,6827.723,True
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,RFC,WEST,ATSI,OE,6557.276,True
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,RFC,WEST,ATSI,OE,6393.372,True
1/2/2025 6:00:00 AM,1/2/2025 1:00:00 AM,RFC,WEST,ATSI,OE,6330.751,True
1/2/2025 7:00:00 AM,1/2/2025 2:00:00 AM,RFC,WEST,ATSI,OE,6230.391,True
1/2/2025 8:00:00 AM,1/2/2025 3:00:00 AM,RFC,WEST,ATSI,OE,6253.261,True
1/2/2025 9:00:00 AM,1/2/2025 4:00:00 AM,RFC,WEST,ATSI,OE,6389.071,True
1/2/2025 10:00:00 AM,1/2/2025 5:00:00 AM,RFC,WEST,ATSI,OE,6695.394,True
1/2/2025 11:00:00 AM,1/2/2025 6:00:00 AM,RFC,WEST,ATSI,OE,7181.622,True
1/2/2025 12:00:00 PM,1/2/2025 7:00:00 AM,RFC,WEST,ATSI,OE,7602.701,True
1/2/2025 1:00:00 PM,1/2/2025 8:00:00 AM,RFC,WEST,ATSI,OE,7809.983,True
1/2/2025 2:00:00 PM,1/2/2025 9:00:00 AM,RFC,WEST,ATSI,OE,8036.199,True
1/2/2025 3:00:00 PM,1/2/2025 10:00:00 AM,RFC,WEST,ATSI,OE,8223.172,True
1/2/2025 4:00:00 PM,1/2/2025 11:00:00 AM,RFC,WEST,ATSI,OE,8278.950,True
1/2/2025 5:00:00 PM,1/2/2025 12:00:00 PM,RFC,WEST,ATSI,OE,8302.272,True
1/2/2025 6:00:00 PM,1/2/2025 1:00:00 PM,RFC,WEST,ATSI,OE,8359.986,True
1/2/2025 7:00:00 PM,1/2/2025 2:00:00 PM,RFC,WEST,ATSI,OE,8257.082,True
1/2/2025 8:00:00 PM,1/2/2025 3:00:00 PM,RFC,WEST,ATSI,OE,8240.800,True
1/2/2025 9:00:00 PM,1/2/2025 4:00:00 PM,RFC,WEST,ATSI,OE,8264.285,True
1/2/2025 10:00:00 PM,1/2/2025 5:00:00 PM,RFC,WEST,ATSI,OE,8421.217,True
1/2/2025 11:00:00 PM,1/2/2025 6:00:00 PM,RFC,WEST,ATSI,OE,8334.728,True
1/3/2025 12:00:00 AM,1/2/2025 7:00:00 PM,RFC,WEST,ATSI,OE,8270.211,True
1/3/2025 1:00:00 AM,1/2/2025 8:00:00 PM,RFC,WEST,ATSI,OE,8060.851,True
1/3/2025 2:00:00 AM,1/2/2025 9:00:00 PM,RFC,WEST,ATSI,OE,7813.223,True
1/3/2025 3:00:00 AM,1/2/2025 10:00:00 PM,RFC,WEST,ATSI,OE,7521.551,True
1/3/2025 4:00:00 AM,1/2/2025 11:00:00 PM,RFC,WEST,ATSI,OE,7147.718,True
1/3/2025 5:00:00 AM,1/3/2025 12:00:00 AM,RFC,WEST,ATSI,OE,7005.023,True
1/3/2025 6:00:00 AM,1/3/2025 1:00:00 AM,RFC,WEST,ATSI,OE,6843.191,True
1/3/2025 7:00:00 AM,1/3/2025 2:00:00 AM,RFC,WEST,ATSI,OE,6796.608,True
1/3/2025 8:00:00 AM,1/3/2025 3:00:00 AM,RFC,WEST,ATSI,OE,6784.386,True
1/3/2025 9:00:00 AM,1/3/2025 4:00:00 AM,RFC,WEST,ATSI,OE,6868.471,True
1/3/2025 10:00:00 AM,1/3/2025 5:00:00 AM,RFC,WEST,ATSI,OE,7084.711,True
1/3/2025 11:00:00 AM,1/3/2025 6:00:00 AM,RFC,WEST,ATSI,OE,7493.010,True
1/3/2025 12:00:00 PM,1/3/2025 7:00:00 AM,RFC,WEST,ATSI,OE,7889.428,True
1/3/2025 1:00:00 PM,1/3/2025 8:00:00 AM,RFC,WEST,ATSI,OE,8007.019,True
1/3/2025 2:00:00 PM,1/3/2025 9:00:00 AM,RFC,WEST,ATSI,OE,8148.400,True
1/3/2025 3:00:00 PM,1/3/2025 10:00:00 AM,RFC,WEST,ATSI,OE,8124.141,True
1/3/2025 4:00:00 PM,1/3/2025 11:00:00 AM,RFC,WEST,ATSI,OE,8240.825,True
1/3/2025 5:00:00 PM,1/3/2025 12:00:00 PM,RFC,WEST,ATSI,OE,8348.424,True
1/3/2025 6:00:00 PM,1/3/2025 1:00:00 PM,RFC,WEST,ATSI,OE,8334.828,True
1/3/2025 7:00:00 PM,1/3/2025 2:00:00 PM,RFC,WEST,ATSI,OE,8202.512,True
1/3/2025 8:00:00 PM,1/3/2025 3:00:00 PM,RFC,WEST,ATSI,OE,8136.338,True
1/3/2025 9:00:00 PM,1/3/2025 4:00:00 PM,RFC,WEST,ATSI,OE,8194.761,True
1/3/2025 10:00:00 PM,1/3/2025 5:00:00 PM,RFC,WEST,ATSI,OE,8434.636,True
1/3/2025 11:00:00 PM,1/3/2025 6:00:00 PM,RFC,WEST,ATSI,OE,8269.226,True
1/4/2025 12:00:00 AM,1/3/2025 7:00:00 PM,RFC,WEST,ATSI,OE,8196.099,True
1/4/2025 1:00:00 AM,1/3/2025 8:00:00 PM,RFC,WEST,ATSI,OE,8135.205,True
1/4/2025 2:00:00 AM,1/3/2025 9:00:00 PM,RFC,WEST,ATSI,OE,7954.275,True
1/4/2025 3:00:00 AM,1/3/2025 10:00:00 PM,RFC,WEST,ATSI,OE,7714.676,True
1/4/2025 4:00:00 AM,1/3/2025 11:00:00 PM,RFC,WEST,ATSI,OE,7410.478,True
1/4/2025 5:00:00 AM,1/4/2025 12:00:00 AM,RFC,WEST,ATSI,OE,7132.579,True
1/4/2025 6:00:00 AM,1/4/2025 1:00:00 AM,RFC,WEST,ATSI,OE,7054.386,True
1/4/2025 7:00:00 AM,1/4/2025 2:00:00 AM,RFC,WEST,ATSI,OE,6919.529,True
1/4/2025 8:00:00 AM,1/4/2025 3:00:00 AM,RFC,WEST,ATSI,OE,6884.964,True
1/4/2025 9:00:00 AM,1/4/2025 4:00:00 AM,RFC,WEST,ATSI,OE,6851.035,True
1/4/2025 10:00:00 AM,1/4/2025 5:00:00 AM,RFC,WEST,ATSI,OE,7045.769,True
1/4/2025 11:00:00 AM,1/4/2025 6:00:00 AM,RFC,WEST,ATSI,OE,7115.181,True
1/4/2025 12:00:00 PM,1/4/2025 7:00:00 AM,RFC,WEST,ATSI,OE,7371.633,True
1/4/2025 1:00:00 PM,1/4/2025 8:00:00 AM,RFC,WEST,ATSI,OE,7573.178,True
1/4/2025 2:00:00 PM,1/4/2025 9:00:00 AM,RFC,WEST,ATSI,OE,7718.079,True
1/4/2025 3:00:00 PM,1/4/2025 10:00:00 AM,RFC,WEST,ATSI,OE,7838.223,True
1/4/2025 4:00:00 PM,1/4/2025 11:00:00 AM,RFC,WEST,ATSI,OE,7877.885,True
1/4/2025 5:00:00 PM,1/4/2025 12:00:00 PM,RFC,WEST,ATSI,OE,7847.211,True
1/4/2025 6:00:00 PM,1/4/2025 1:00:00 PM,RFC,WEST,ATSI,OE,7909.917,True
